#   x       y(x)         y(x)^2         classical p(x)      V
 -8.770  0.69345649E-13  0.48088190E-26  0.00000000E+00   38.456450
 -8.760  0.75346516E-13  0.56770975E-26  0.00000000E+00   38.368800
 -8.750  0.81858034E-13  0.67007377E-26  0.00000000E+00   38.281250
 -8.740  0.88922896E-13  0.79072814E-26  0.00000000E+00   38.193800
 -8.730  0.96587304E-13  0.93291072E-26  0.00000000E+00   38.106450
 -8.720  0.10490124E-12  0.11004271E-25  0.00000000E+00   38.019200
 -8.710  0.11391879E-12  0.12977491E-25  0.00000000E+00   37.932050
 -8.700  0.12369845E-12  0.15301306E-25  0.00000000E+00   37.845000
 -8.690  0.13430347E-12  0.18037423E-25  0.00000000E+00   37.758050
 -8.680  0.14580230E-12  0.21258311E-25  0.00000000E+00   37.671200
 -8.670  0.15826892E-12  0.25049050E-25  0.00000000E+00   37.584450
 -8.660  0.17178332E-12  0.29509509E-25  0.00000000E+00   37.497800
 -8.650  0.18643200E-12  0.34756891E-25  0.00000000E+00   37.411250
 -8.640  0.20230845E-12  0.40928710E-25  0.00000000E+00   37.324800
 -8.630  0.21951373E-12  0.48186278E-25  0.00000000E+00   37.238450
 -8.620  0.23815705E-12  0.56718782E-25  0.00000000E+00   37.152200
 -8.610  0.25835643E-12  0.66748047E-25  0.00000000E+00   37.066050
 -8.600  0.28023940E-12  0.78534121E-25  0.00000000E+00   36.980000
 -8.590  0.30394372E-12  0.92381786E-25  0.00000000E+00   36.894050
 -8.580  0.32961823E-12  0.10864818E-24  0.00000000E+00   36.808200
 -8.570  0.35742369E-12  0.12775169E-24  0.00000000E+00   36.722450
 -8.560  0.38753371E-12  0.15018238E-24  0.00000000E+00   36.636800
 -8.550  0.42013580E-12  0.17651409E-24  0.00000000E+00   36.551250
 -8.540  0.45543241E-12  0.20741868E-24  0.00000000E+00   36.465800
 -8.530  0.49364211E-12  0.24368254E-24  0.00000000E+00   36.380450
 -8.520  0.53500089E-12  0.28622595E-24  0.00000000E+00   36.295200
 -8.510  0.57976344E-12  0.33612564E-24  0.00000000E+00   36.210050
 -8.500  0.62820467E-12  0.39464110E-24  0.00000000E+00   36.125000
 -8.490  0.68062124E-12  0.46324528E-24  0.00000000E+00   36.040050
 -8.480  0.73733329E-12  0.54366038E-24  0.00000000E+00   35.955200
 -8.470  0.79868620E-12  0.63789964E-24  0.00000000E+00   35.870450
 -8.460  0.86505257E-12  0.74831596E-24  0.00000000E+00   35.785800
